start,end,step,result
0.35,2.73,0.98,77.78
4.01,7.14,0.22,75.59
3.15,13.44,0.36,73.60
0.51,1.24,0.60,100.00
8.45,10.73,0.53,100.00
0.02,8.89,0.25,86.09
0.48,13.93,0.18,73.94
1.91,6.05,0.86,92.00
6.15,9.10,0.40,92.19
3.47,11.49,0.43,100.00
1.13,9.71,0.10,76.91
1.45,5.76,0.03,78.06
2.75,11.23,0.35,92.35
9.08,12.03,0.90,68.75
4.93,9.42,0.83,95.37
2.32,9.71,0.15,80.38
1.34,4.18,0.68,80.80
0.90,7.05,0.45,80.76
9.09,10.95,0.32,100.00
4.07,9.81,0.37,93.07
2.17,3.53,0.61,70.37
4.48,8.61,0.59,81.25
6.60,7.51,0.75,75.00
1.82,14.68,0.18,74.18
5.35,9.46,0.88,88.80
1.65,11.16,0.43,86.18
3.94,12.77,0.18,100.00
4.16,12.03,0.44,77.95
1.46,11.58,0.27,77.90
8.01,9.99,0.25,65.62
5.13,6.38,0.99,100.00
4.84,8.14,0.12,99.75
8.47,10.72,0.89,62.96
5.58,10.76,0.84,73.76
6.83,11.07,0.16,75.67
8.02,9.02,0.97,75.00
6.58,13.37,0.89,100.00
4.27,5.78,0.15,100.00
8.84,9.59,0.07,100.00
6.49,7.91,0.75,100.00
6.79,7.46,0.49,100.00
5.05,5.59,0.78,100.00
3.62,6.63,0.29,76.26
5.36,9.79,0.24,80.49
9.95,11.69,0.33,100.00
0.06,1.19,0.08,82.43
2.26,2.48,0.27,100.00
5.29,6.25,0.14,84.84
7.01,13.38,0.81,78.12
2.71,5.05,0.62,81.25
3.97,10.96,0.40,79.77
1.45,2.40,0.12,92.19
9.32,12.49,0.18,100.00
1.15,1.32,0.30,100.00
0.22,0.49,0.59,100.00
9.11,14.30,0.74,78.91
9.80,12.20,0.20,76.50
1.85,7.49,0.07,83.89
9.77,14.97,0.34,80.96
7.20,12.85,0.13,76.04
7.40,7.68,0.38,100.00
3.87,13.44,0.80,72.80
9.58,12.69,0.34,100.00
8.10,12.10,0.56,68.36
4.74,5.32,0.39,100.00
9.81,10.80,0.54,75.00
4.14,11.50,0.59,100.00
6.01,6.25,0.99,100.00
7.77,14.10,0.07,81.01
6.05,11.44,0.15,100.00
8.59,10.71,0.58,100.00
3.53,7.23,0.72,100.00
1.77,9.94,0.36,87.69
4.82,11.11,0.09,93.66
1.11,9.56,0.65,67.71
2.58,9.96,0.29,80.34
8.52,14.51,0.34,78.77
4.20,10.67,0.48,76.53
0.77,6.37,0.99,67.59
0.03,1.33,0.41,90.62
8.13,13.23,0.74,100.00
5.53,11.19,0.92,77.26
5.58,12.13,0.01,100.00
1.07,14.91,0.28,79.04
6.21,13.69,0.48,77.34
1.38,14.64,0.03,73.36
3.01,4.90,0.37,81.48
6.53,9.17,0.68,90.62
6.28,6.48,0.71,100.00
0.35,12.43,0.18,74.99
9.92,14.54,0.88,79.63
1.71,3.60,0.13,78.52
7.84,9.97,0.05,72.80
2.56,9.92,0.10,81.49
9.09,11.88,0.19,71.32
9.07,14.86,1.00,76.85
6.40,6.99,0.53,100.00
3.48,4.37,0.45,100.00
6.17,14.29,0.22,79.16
6.74,11.46,0.20,100.00
3.02,3.51,0.40,75.00
2.60,9.06,0.87,80.86
3.32,5.12,0.37,87.20
3.55,14.86,0.22,78.20
1.57,14.81,0.94,79.26
5.73,11.08,0.31,100.00
8.60,10.16,0.33,100.00
3.23,12.23,0.73,93.08
8.69,11.59,0.49,72.22
2.94,3.62,0.82,100.00
8.14,11.18,0.04,100.00
3.70,8.30,0.39,100.00
6.90,14.20,0.78,74.40
4.99,12.05,0.19,94.69
0.03,3.28,0.44,78.12
2.43,12.50,0.17,74.60
5.00,6.47,0.31,76.00
6.49,10.10,0.50,82.03
9.00,12.54,0.62,100.00
3.69,8.83,0.41,76.15
2.03,14.37,0.74,79.85
4.81,6.76,0.69,100.00
9.90,11.88,0.21,100.00
2.38,3.90,0.51,100.00
7.76,12.04,0.73,80.56
5.95,14.48,0.62,80.25
3.54,3.95,0.54,100.00
9.50,13.22,0.02,100.00
7.23,7.51,0.06,100.00
7.96,11.57,0.63,100.00
9.08,14.37,0.62,100.00
1.44,4.41,0.63,100.00
3.98,4.39,0.36,100.00
4.21,4.95,0.94,100.00
7.43,13.73,0.65,76.00
0.05,0.45,0.32,100.00
2.96,5.32,0.62,68.75
4.20,12.35,0.20,77.62
7.70,13.81,0.79,74.61
9.97,14.76,0.30,100.00
2.10,14.41,0.27,75.07
2.49,5.61,0.38,80.52
8.50,10.12,0.43,100.00
2.23,13.85,0.87,82.80
0.55,13.66,0.64,76.59
1.48,12.26,0.23,81.79
6.63,7.21,0.86,100.00
7.61,10.91,0.78,72.80
5.56,10.04,0.08,93.24
4.85,10.37,0.24,78.80
9.29,11.64,0.99,100.00
6.13,13.90,0.28,78.83
3.79,6.69,0.89,78.12
6.59,14.54,0.09,79.41
5.70,6.58,0.06,80.09
8.64,13.40,0.04,75.82
2.84,14.79,0.84,80.56
0.59,4.93,0.15,77.47
1.97,2.28,0.25,75.00
9.03,9.51,0.43,100.00
3.52,5.98,0.14,100.00
6.68,11.13,0.59,95.31
1.86,5.97,0.85,100.00
6.59,9.62,0.29,94.14
1.51,10.15,0.88,76.00
8.84,9.24,0.62,100.00
0.09,6.72,0.07,78.72
6.34,10.14,0.54,93.75
9.02,14.06,0.39,80.69
2.83,13.10,0.03,81.54
0.32,8.40,0.86,81.60
